2026-08-08 17:09:45 | INFO  | p.LoginPage     | Verifying Login page.
2026-08-08 17:09:45 | INFO  | test.LoginTest  | TEST RESULT : PASSED
2026-08-08 17:09:45 | INFO  | test.LoginTest  | ============================================================
2026-08-08 17:09:46 | INFO  | u.TestListener  | 
2026-08-08 17:09:46 | INFO  | u.TestListener  | ============================================================
2026-08-08 17:09:46 | INFO  | u.TestListener  | TEST EXECUTION SUMMARY
2026-08-08 17:09:46 | INFO  | u.TestListener  | ------------------------------------------------------------
2026-08-08 17:09:46 | INFO  | u.TestListener  | Suite       : Default Suite
2026-08-08 17:09:46 | INFO  | u.TestListener  | Total Tests : 7
2026-08-08 17:09:46 | INFO  | u.TestListener  | Passed      : 7
2026-08-08 17:09:46 | INFO  | u.TestListener  | Failed      : 0
2026-08-08 17:09:46 | INFO  | u.TestListener  | Skipped     : 0
2026-08-08 17:09:46 | INFO  | u.TestListener  | Pass Rate   : 100.00%
2026-08-08 17:09:46 | INFO  | u.TestListener  | Duration    : 206 sec
2026-08-08 17:09:46 | INFO  | u.TestListener  | ============================================================
2026-08-08 21:11:02 | INFO  | u.TestListener  | ============================================================
2026-08-08 21:11:02 | INFO  | u.TestListener  | TEST EXECUTION STARTED
2026-08-08 21:11:02 | INFO  | u.TestListener  | Suite : Default Suite
2026-08-08 21:11:02 | INFO  | u.TestListener  | ============================================================
2026-08-08 21:11:16 | INFO  | t.ContentTest   | ======================================================
2026-08-08 21:11:16 | INFO  | t.ContentTest   | TEST CASE : TC_004 - Verify Add New Subject
2026-08-08 21:11:16 | INFO  | t.ContentTest   | ======================================================
2026-08-08 21:11:16 | INFO  | t.ContentTest   | STEP 1 : Login
2026-08-08 21:11:16 | INFO  | p.LoginPage     | Starting Login Process.
2026-08-08 21:11:16 | INFO  | p.LoginPage     | Entering Email.
2026-08-08 21:11:16 | INFO  | p.LoginPage     | Entering Password.
2026-08-08 21:11:16 | INFO  | p.LoginPage     | Clicking Login button.
2026-08-08 21:11:16 | INFO  | p.LoginPage     | Login completed successfully.
2026-08-08 21:11:16 | INFO  | t.ContentTest   | STEP 2 : Navigate to Content
2026-08-08 21:11:16 | INFO  | p.ContentPage   | Clicking Content menu
2026-08-08 21:11:19 | INFO  | p.ContentPage   | Content page opened
2026-08-08 21:11:24 | INFO  | t.ContentTest   | STEP 3 : Add New Subject
2026-08-08 21:11:24 | INFO  | t.ContentTest   | Subject Name : Health
2026-08-08 21:11:24 | INFO  | t.ContentTest   | Image Path : D:\MontreCY\com.montrecy.automation\src\main\resources\Health.png
2026-08-08 21:11:27 | INFO  | p.ContentPage   | Opening Add New Subject
2026-08-08 21:11:27 | INFO  | p.ContentPage   | Entering Subject Name
2026-08-08 21:11:28 | INFO  | p.ContentPage   | Uploading Subject Image
2026-08-08 21:11:28 | INFO  | p.CommonActions | Clicking upload area
2026-08-08 21:11:28 | INFO  | p.CommonActions | Uploading file : D:\MontreCY\com.montrecy.automation\src\main\resources\Health.png
2026-08-08 21:11:28 | INFO  | p.CommonActions | File uploaded successfully
2026-08-08 21:11:28 | INFO  | p.ContentPage   | Clicking Add Subject
2026-08-08 21:11:29 | INFO  | p.ContentPage   | Subject 'Health' created successfully
2026-08-08 21:11:34 | INFO  | t.ContentTest   | TEST RESULT : PASSED
2026-08-08 21:11:34 | INFO  | t.ContentTest   | ======================================================
2026-08-08 21:11:38 | INFO  | t.ContentTest   | ======================================================
2026-08-08 21:11:38 | INFO  | t.ContentTest   | TEST CASE : TC_005 - Verify Add New Level
2026-08-08 21:11:38 | INFO  | t.ContentTest   | ======================================================
2026-08-08 21:11:38 | INFO  | t.ContentTest   | STEP 1 : Login
2026-08-08 21:11:38 | INFO  | p.LoginPage     | Starting Login Process.
2026-08-08 21:11:38 | INFO  | p.LoginPage     | Entering Email.
2026-08-08 21:11:38 | INFO  | p.LoginPage     | Entering Password.
2026-08-08 21:11:38 | INFO  | p.LoginPage     | Clicking Login button.
2026-08-08 21:11:39 | INFO  | p.LoginPage     | Login completed successfully.
2026-08-08 21:11:42 | INFO  | t.ContentTest   | STEP 2 : Navigate to Content
2026-08-08 21:11:42 | INFO  | p.ContentPage   | Clicking Content menu
2026-08-08 21:11:42 | INFO  | p.ContentPage   | Content page opened
2026-08-08 21:11:48 | INFO  | t.ContentTest   | STEP 3 : Add New Level
2026-08-08 21:11:48 | INFO  | p.ContentPage   | Opening Subject : Health
2026-08-08 21:11:48 | INFO  | p.ContentPage   | Clicking Add New Level
2026-08-08 21:11:49 | INFO  | p.ContentPage   | Entering Level Number : 1
2026-08-08 21:11:49 | INFO  | p.ContentPage   | Entering Grade : First Grade
2026-08-08 21:11:49 | INFO  | p.ContentPage   | Entering Description
2026-08-08 21:11:49 | INFO  | p.ContentPage   | Clicking Add New Level
2026-08-08 21:11:49 | INFO  | p.ContentPage   | Level added successfully.
2026-08-08 21:11:52 | INFO  | t.ContentTest   | TEST RESULT : PASSED
2026-08-08 21:11:52 | INFO  | t.ContentTest   | ======================================================
2026-08-08 21:11:56 | INFO  | t.ContentTest   | ======================================================
2026-08-08 21:11:56 | INFO  | t.ContentTest   | TEST CASE : TC_006 - Verify Add New Chapter
2026-08-08 21:11:56 | INFO  | t.ContentTest   | ======================================================
2026-08-08 21:11:56 | INFO  | t.ContentTest   | STEP 1 : Login
2026-08-08 21:11:56 | INFO  | p.LoginPage     | Starting Login Process.
2026-08-08 21:11:56 | INFO  | p.LoginPage     | Entering Email.
2026-08-08 21:11:56 | INFO  | p.LoginPage     | Entering Password.
2026-08-08 21:11:56 | INFO  | p.LoginPage     | Clicking Login button.
2026-08-08 21:11:56 | INFO  | p.LoginPage     | Login completed successfully.
2026-08-08 21:11:56 | INFO  | t.ContentTest   | STEP 2 : Navigate to Content
2026-08-08 21:11:56 | INFO  | p.ContentPage   | Clicking Content menu
2026-08-08 21:11:58 | INFO  | p.ContentPage   | Content page opened
2026-08-08 21:11:58 | INFO  | t.ContentTest   | STEP 5 : Add New Chapter
2026-08-08 21:11:58 | INFO  | p.ContentPage   | Opening Subject : Health
2026-08-08 21:11:58 | INFO  | p.ContentPage   | Subject clicked successfully
2026-08-08 21:12:01 | INFO  | p.ContentPage   | Opening Level : First Grade
2026-08-08 21:12:04 | INFO  | p.ContentPage   | Clicking Theory/Video
2026-08-08 21:12:07 | INFO  | p.ContentPage   | Clicking Add Your First Chapter
2026-08-08 21:12:30 | INFO  | t.DashboardTest | ============================================================
2026-08-08 21:12:30 | INFO  | t.DashboardTest | TEST CASE : TC_003 - Verify Platform Pulse KPI Cards
2026-08-08 21:12:30 | INFO  | t.DashboardTest | ============================================================
2026-08-08 21:12:30 | INFO  | t.DashboardTest | STEP 1 : Login to MontreCY Admin Portal
2026-08-08 21:12:30 | INFO  | p.LoginPage     | Starting Login Process.
2026-08-08 21:12:30 | INFO  | p.LoginPage     | Entering Email.
2026-08-08 21:12:30 | INFO  | p.LoginPage     | Entering Password.
2026-08-08 21:12:30 | INFO  | p.LoginPage     | Clicking Login button.
2026-08-08 21:12:30 | INFO  | p.LoginPage     | Login completed successfully.
2026-08-08 21:12:30 | INFO  | t.DashboardTest | STEP 2 : Validate Dashboard page
2026-08-08 21:12:30 | INFO  | p.DashboardPage | Verifying Dashboard page.
2026-08-08 21:12:31 | INFO  | t.DashboardTest | STEP 3 : Validate Platform Pulse KPI Cards
2026-08-08 21:12:31 | INFO  | p.DashboardPage | Verifying Total Users card.
2026-08-08 21:12:31 | INFO  | p.DashboardPage | Verifying New Subscriptions card.
2026-08-08 21:12:31 | INFO  | p.DashboardPage | Verifying Revenue card.
2026-08-08 21:12:31 | INFO  | p.DashboardPage | Verifying Churn Rate card.
2026-08-08 21:12:31 | INFO  | p.DashboardPage | Verifying DAU card.
2026-08-08 21:12:31 | INFO  | t.DashboardTest | TEST RESULT : PASSED
2026-08-08 21:12:31 | INFO  | t.DashboardTest | ============================================================
2026-08-08 21:12:34 | INFO  | test.LoginTest  | ============================================================
2026-08-08 21:12:34 | INFO  | test.LoginTest  | TEST CASE : TC_001 - Verify Admin Login and Dashboard Title
2026-08-08 21:12:34 | INFO  | test.LoginTest  | ============================================================
2026-08-08 21:12:34 | INFO  | test.LoginTest  | STEP 1 : Login to MontreCY Admin Portal
2026-08-08 21:12:34 | INFO  | p.LoginPage     | Starting Login Process.
2026-08-08 21:12:34 | INFO  | p.LoginPage     | Entering Email.
2026-08-08 21:12:34 | INFO  | p.LoginPage     | Entering Password.
2026-08-08 21:12:34 | INFO  | p.LoginPage     | Clicking Login button.
2026-08-08 21:12:34 | INFO  | p.LoginPage     | Login completed successfully.
2026-08-08 21:12:34 | INFO  | test.LoginTest  | STEP 2 : Validate Dashboard page
2026-08-08 21:12:34 | INFO  | p.DashboardPage | Verifying Dashboard page.
2026-08-08 21:12:35 | INFO  | test.LoginTest  | STEP 3 : Validate Dashboard title
2026-08-08 21:12:35 | INFO  | p.DashboardPage | Getting Dashboard title.
2026-08-08 21:12:35 | INFO  | test.LoginTest  | TEST RESULT : PASSED
2026-08-08 21:12:35 | INFO  | test.LoginTest  | ============================================================
2026-08-08 21:12:37 | INFO  | test.LoginTest  | ============================================================
2026-08-08 21:12:37 | INFO  | test.LoginTest  | TEST CASE : TC_002 - Verify Admin Logout
